行政区,町名,丁目,番地,該当地域名１,該当地域名２,該当地域名３,該当地域会館名１,該当地域会館名２,該当地域会館名３,該当地域会館住所１,該当地域会館住所２,該当地域会館住所３,該当地域電話番号１,該当地域電話番号２,該当地域電話番号３,その他１
西区,立売堀,１丁目,１４番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,２丁目,１番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,２丁目,２番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,２丁目,３番,明治（めいじ）,―,―,明治会館,―,―,大阪市西区立売堀２－２－１７,―,―,０６－６５４１－０６８０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,２丁目,４番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,２丁目,５番,明治（めいじ）,西六（さいろく）,―,明治会館,西六福祉会館,―,大阪市西区立売堀２－２－１７,大阪市西区新町２－１３－１,―,０６－６５４１－０６８０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,３丁目,１番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,３丁目,２番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,３丁目,３番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,３丁目,４番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,大阪市西区新町２－１３－１,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,３丁目,５番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,大阪市西区新町２－１３－１,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,３丁目,６番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,３丁目,７番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,３丁目,８番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,１番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,２番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,３番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,４番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,５番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,４丁目,６番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,７番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,８番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,９番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,１０番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,４丁目,１１番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,１番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,２番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,３番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,４番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,５番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,６番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,５丁目,７番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,大阪市西区新町２－１３－１,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,５丁目,８番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,大阪市西区新町２－１３－１,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,６丁目,１番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,２番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,３番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,４番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,５番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,６番,広教（こうきょう）,西六（さいろく）,―,広教会館,西六福祉会館,―,大阪市西区立売堀４－６－１４,大阪市西区新町２－１３－１,―,０６－６５３４－８６９０,０６－６５３４－０８７４,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,立売堀,６丁目,７番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,８番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,立売堀,６丁目,９番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,１丁目,,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,２丁目,,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,１番,江戸堀（えどぼり）,靱（うつぼ）,―,江戸堀連合会館,靱会館,―,大阪市西区江戸堀３－８－１,大阪市西区靱本町１－９－２５,―,０６－６４４４－１１２２,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,靱本町,３丁目,２番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,３番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,４番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,５番,江戸堀（えどぼり）,靱（うつぼ）,―,江戸堀連合会館,靱会館,―,大阪市西区江戸堀３－８－１,大阪市西区靱本町１－９－２５,―,０６－６４４４－１１２２,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,靱本町,３丁目,６番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,７番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,８番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,９番,靱（うつぼ）,―,―,靱会館,―,―,大阪市西区靱本町１－９－２５,―,―,０６－６４４７－００２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,靱本町,３丁目,１０番,江戸堀（えどぼり）,靱（うつぼ）,―,江戸堀連合会館,靱会館,―,大阪市西区江戸堀３－８－１,大阪市西区靱本町１－９－２５,―,０６－６４４４－１１２２,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,江戸堀,１丁目,,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江戸堀,２丁目,,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江戸堀,３丁目,,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,１番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,２番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,３番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,４番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,５番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,６番,江戸堀（えどぼり）,―,―,江戸堀連合会館,―,―,大阪市西区江戸堀３－８－１,―,―,０６－６４４４－１１２２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,７番,江戸堀（えどぼり）,靱（うつぼ）,広教（こうきょう）,江戸堀連合会館,靱会館,広教会館,大阪市西区江戸堀３－８－１,大阪市西区靱本町１－９－２５,大阪市西区立売堀４－６－１４,０６－６４４４－１１２２,０６－６４４７－００２２,０６－６５３４－８６９０,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,江之子島,１丁目,８番,江戸堀（えどぼり）,広教（こうきょう）,―,江戸堀連合会館,広教会館,―,大阪市西区江戸堀３－８－１,大阪市西区立売堀４－６－１４,―,０６－６４４４－１１２２,０６－６５３４－８６９０,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,江之子島,１丁目,９番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,１丁目,１０番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,江之子島,２丁目,１番,靱（うつぼ）,広教（こうきょう）,―,靱会館,広教会館,―,大阪市西区靱本町１－９－２５,大阪市西区立売堀４－６－１４,―,０６－６４４７－００２２,０６－６５３４－８６９０,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,江之子島,２丁目,２番,広教（こうきょう）,―,―,広教会館,―,―,大阪市西区立売堀４－６－１４,―,―,０６－６５３４－８６９０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,川口,１丁目,,本田（ほんでん）,―,―,本田連合会館,―,―,大阪市西区本田３－５－１４,―,―,０６－６５８１－６２９２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,川口,２丁目,,本田（ほんでん）,―,―,本田連合会館,―,―,大阪市西区本田３－５－１４,―,―,０６－６５８１－６２９２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,川口,３丁目,,本田（ほんでん）,―,―,本田連合会館,―,―,大阪市西区本田３－５－１４,―,―,０６－６５８１－６２９２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,川口,４丁目,,本田（ほんでん）,―,―,本田連合会館,―,―,大阪市西区本田３－５－１４,―,―,０６－６５８１－６２９２,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,北堀江,１丁目,,堀江（ほりえ）,―,―,堀江会館,―,―,大阪市西区南堀江１－１３－２３,―,―,０６－６５４３－１０６０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,北堀江,２丁目,,堀江（ほりえ）,―,―,堀江会館,―,―,大阪市西区南堀江１－１３－２３,―,―,０６－６５４３－１０６０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,北堀江,３丁目,,堀江（ほりえ）,―,―,堀江会館,―,―,大阪市西区南堀江１－１３－２３,―,―,０６－６５４３－１０６０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,北堀江,４丁目,,堀江（ほりえ）,―,―,堀江会館,―,―,大阪市西区南堀江１－１３－２３,―,―,０６－６５４３－１０６０,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,１番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,２番,西船場（にしせんば）,靱（うつぼ）,―,西船場会館,靱会館,―,大阪市西区京町堀１－１１－３０,大阪市西区靱本町１－９－２５,―,０６－６４４６－５９１７,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,京町堀,１丁目,３番,西船場（にしせんば）,靱（うつぼ）,―,西船場会館,靱会館,―,大阪市西区京町堀１－１１－３０,大阪市西区靱本町１－９－２５,―,０６－６４４６－５９１７,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,京町堀,１丁目,４番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,５番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,６番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,７番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,８番,西船場（にしせんば）,靱（うつぼ）,―,西船場会館,靱会館,―,大阪市西区京町堀１－１１－３０,大阪市西区靱本町１－９－２５,―,０６－６４４６－５９１７,０６－６４４７－００２２,―,地域の境目のため、対象地域が複数にまたがっています。詳しくは西区役所地域支援課（０６－６５３２－９７３４）までお問い合わせください。
西区,京町堀,１丁目,９番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,１０番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
西区,京町堀,１丁目,１１番,西船場（にしせんば）,―,―,西船場会館,―,―,大阪市西区京町堀１－１１－３０,―,―,０６－６４４６－５９１７,―,―,時間帯によっては、電話が繋がらない場合もありますので、ご了承頂きますようお願い致します。
